duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,stage
5.0,common_core,-0.6073485268872947,0.22167224586368411,4.139263770855554,8.829338185323168,4.8054168171154075,6.752771043834391,0.8352773363561266,4.282024048790238,11,solved
5.0,full_log,3.293994702249538,0.2220378337247729,5.194922898590204,7.491750621542281,5.958747467578236,8.035587422594116,13.053007627123279,5.194922898590204,11,solved
5.0,full_log_excluding_training,3.0391668716592104,0.22130761835756588,5.1405928801288585,7.498181603013827,5.9684260255316035,8.015823573311865,14.103825289506034,5.140993749687263,11,solved
5.0,training_window,-0.6073485268872947,0.22167224586368411,4.139263770855554,8.829338185323168,4.8054168171154075,6.752771043834391,0.8352773363561266,4.282024048790238,11,solved
10.0,common_core,nan,0.19614296370729725,3.2185869316803233,8.120446619104538,2.5868006009455358,4.539217631854922,nan,3.2966876008877493,11,mag_model
10.0,full_log,nan,0.19448149062639225,4.713176354052754,7.932023988166982,5.110605213941501,7.849020831396737,nan,4.713176354052754,11,mag_model
10.0,full_log_excluding_training,nan,0.19589110595381992,4.782146629503207,7.9266733724824805,5.114169338750423,7.6965845047889445,nan,4.782501269034384,11,mag_model
10.0,training_window,nan,0.1810977430601221,3.5574492557719486,8.039820259397262,3.110488861319021,5.829912404724336,nan,3.7025178675603683,11,mag_model
10.0,common_core,-1.8611513347797093,0.20664498684682311,3.67100960751573,8.196548702611608,3.9600746457205105,5.975608763166496,-5.900509559579987,3.811767893045264,11,fusion1
10.0,full_log,-0.16675955285555233,0.19807642848570697,4.800298146765463,7.922179271733893,4.896595112058067,8.37137665873533,0.17099494501523083,4.800298146765463,11,fusion1
10.0,full_log_excluding_training,-0.09553464526979738,0.1990448137103911,4.82661085930449,7.911549261573945,4.959389938621219,8.390050291830724,0.8430328240164258,4.826809056035829,11,fusion1
10.0,training_window,-1.4739843805911725,0.19349224576094434,3.4824762715153788,7.327208036412374,3.1442941827563606,6.280209831288318,0.3187814613211195,3.5537969229808755,11,fusion1
10.0,common_core,0.30783708877467575,0.19222780674820858,3.443316522249112,7.835369984676517,2.5971234834843404,4.904202713772872,4.011237716069754,3.8143922286221756,11,nuisance_delta_lifted
10.0,full_log,2.467900144307455,0.16851012326878945,3.937102393546569,7.561919250150947,4.795721487407505,6.718757920726498,15.954043283873013,3.937102393546569,11,nuisance_delta_lifted
10.0,full_log_excluding_training,2.547959420485981,0.16831093300682273,3.940733044243951,7.529858038676961,4.824107822966854,6.769247578200799,16.395135520973568,3.9412244771776357,11,nuisance_delta_lifted
10.0,training_window,0.3894444235680945,0.18551127508792853,3.7376197715125294,7.631765652641124,1.7463958900241636,4.972330604539257,6.613137871833292,3.7910227601949624,11,nuisance_delta_lifted
10.0,common_core,0.2943914718307816,0.1690414851389622,3.0592581419914704,8.120232632804061,2.167676683859919,4.310478098932269,6.052601061712297,3.3678920431853174,11,nuisance_corrected_mag
10.0,full_log,2.809740128698003,0.1665732681903112,3.9838654842401207,7.551033613817117,4.203395367004512,6.306346346498838,16.670729381080502,3.9838654842401207,11,nuisance_corrected_mag
10.0,full_log_excluding_training,2.9156498769560955,0.1666864493610768,3.8909138260451512,7.5153903709186025,3.9667118802601933,6.1044050934069665,16.98245643586239,3.8915381459518428,11,nuisance_corrected_mag
10.0,training_window,0.6306484094865459,0.18124843787314623,3.4413813102258786,7.812670602885628,2.6358947702939655,4.312020609544591,3.3204659877055622,3.520434689508563,11,nuisance_corrected_mag
10.0,common_core,-1.974702929505364,0.19916227826619862,3.6250372265555053,7.783397929643248,4.398616073360357,6.251127819447246,-4.695110145999331,3.684540762360381,11,solved
10.0,full_log,2.732457175830433,0.16811545550363444,3.9349866211987856,7.5175218102941335,4.570615327327586,6.779387816872934,12.774809840228023,3.9349866211987856,11,solved
10.0,full_log_excluding_training,2.843551121709446,0.1676883542180751,3.968380659862939,7.486504949354042,4.689418694538664,6.807193766090303,13.009782568914709,3.968792648368832,11,solved
10.0,training_window,0.17596751627072926,0.19476777363749465,3.5074100437502786,7.270101930343171,2.7265091004255417,5.585387158946214,2.7116864439538073,3.5597853744651546,11,solved
20.0,common_core,nan,0.16186199422290673,3.05660127854631,8.413341371259264,-2.460263582228537,6.312479263202104,nan,3.5748207562353533,11,mag_model
20.0,full_log,nan,0.1713792907280017,4.0086112316919165,8.282606853377104,0.41466045408070457,6.399148954514089,nan,4.0086112316919165,11,mag_model
20.0,full_log_excluding_training,nan,0.17085585749425708,4.062233522712463,8.28952518628986,0.42905630182408144,6.416310274257507,nan,4.062292983183176,11,mag_model
20.0,training_window,nan,0.17684214435112913,3.3573700576966083,7.696635439023493,0.9487156344703193,6.590406416598916,nan,3.496286654205901,11,mag_model
20.0,common_core,-0.5947254428824689,0.17796331746162428,3.2798612448133166,7.302240856722273,2.6689653103090465,5.530444753341315,4.102967643966858,3.5375145946601596,11,fusion1
