trial_id,pipeline,log,repeat,duration_s,trainer,status,available_s,cache_fingerprint,center_s,error,error_type,experiment,random_fraction,start_s,stop_s,time_basis
59df68f02a736537,front,log-0063,0,5.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,123.79650999181239,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9905799101005496,121.29650999181239,126.29650999181239,active
cffd470eaee0df40,front,log-0063,2,1.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,3.8913834250671915,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.01136286994746583,3.3913834250671915,4.3913834250671915,active
eca5f057eb09d48f,front,log-0063,2,2.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,3.8913834250671915,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.01136286994746583,2.8913834250671915,4.8913834250671915,active
0c7aa870bc062a5a,front,log-0063,2,3.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,3.8913834250671915,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.01136286994746583,2.3913834250671915,5.3913834250671915,active
3a793d41713b6500,front,log-0063,3,1.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,104.8057592752011,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8354900716635445,104.3057592752011,105.3057592752011,active
5691c3a502f2a214,front,log-0063,3,2.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,104.8057592752011,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8354900716635445,103.8057592752011,105.8057592752011,active
249930f99f96ab3e,front,log-0063,3,3.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,104.8057592752011,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8354900716635445,103.3057592752011,106.3057592752011,active
3d277e6c4e429307,front,log-0063,3,4.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,104.8057592752011,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8354900716635445,102.8057592752011,106.8057592752011,active
8af77eb1037f74ff,front,log-0063,3,5.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,104.8057592752011,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8354900716635445,102.3057592752011,107.3057592752011,active
ce2e09641c6e22bf,front,log-0063,4,1.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,67.916613955245,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.5342312287075945,67.416613955245,68.416613955245,active
6a9f4e90222c51eb,front,log-0063,6,1.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,70.03417407317745,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.551524492226847,69.53417407317745,70.53417407317745,active
e675781487612123,front,log-0063,6,2.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,70.03417407317745,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.551524492226847,69.03417407317745,71.03417407317745,active
51b280f7d26cca1f,front,log-0063,6,3.0,self-supervised,failed,127.45000000000009,6cb3876e1ac10833a7711e8e50158e9468ce1a682224bd8c7f86d1130d8a54b1,70.03417407317745,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.551524492226847,68.53417407317745,71.53417407317745,active
27ea712af74f8d10,front,log-0071_183,5,1.0,self-supervised,failed,445.0149999999999,b959d8095113db1364b9d8afa5d7b414d97285a8a42e6a4aa46768de4a48a7f2,11.874181016637465,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.021304230575406445,11.374181016637465,12.374181016637465,active
cfd5bd171b31319a,front,log-0071_183,8,1.0,self-supervised,failed,445.0149999999999,b959d8095113db1364b9d8afa5d7b414d97285a8a42e6a4aa46768de4a48a7f2,383.9624629685784,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.8669305886585196,383.4624629685784,384.4624629685784,active
1f3aa04a9f400777,front,log-0073_185,4,1.0,self-supervised,failed,309.25999999999993,33b2e0a0f11f6b2646c050308eabe5457c4ba091e3c3f93d2b169b40d855ac84,302.1103341252467,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9847181164965713,301.6103341252467,302.6103341252467,active
0b545ec7d9ebce23,front,log-0073_185,4,2.0,self-supervised,failed,309.25999999999993,33b2e0a0f11f6b2646c050308eabe5457c4ba091e3c3f93d2b169b40d855ac84,302.1103341252467,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9847181164965713,301.1103341252467,303.1103341252467,active
c5448dd89696e347,front,log-0073_185,4,3.0,self-supervised,failed,309.25999999999993,33b2e0a0f11f6b2646c050308eabe5457c4ba091e3c3f93d2b169b40d855ac84,302.1103341252467,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9847181164965713,300.6103341252467,303.6103341252467,active
2a378b821c9007ef,front,log-0073_185,4,4.0,self-supervised,failed,309.25999999999993,33b2e0a0f11f6b2646c050308eabe5457c4ba091e3c3f93d2b169b40d855ac84,302.1103341252467,No training chunks available for mag-to-travel fit,ValueError,random-window-front-v1-shorter,0.9847181164965713,300.1103341252467,304.1103341252467,active
