trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,source_units,target_units,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
self-supervised,tr11_2025_pod_v2,tr11_2025_pod_v2,same_setup,14,14,14,14,182,7.250994316243882,7.259130691440522,-0.031970268587778516,-0.9435565584014062,1.1768350989542666,0.5054945054945055,0.2338934412658581,0.23342967709492773,-0.001139840298686648,-0.03303215529725784,0.03335150927295397,0.5054945054945055,13.268314559579833,12.37540479737433,0.43014278218462465,-1.125231803691797,2.9243025028719565,0.5054945054945055
self-supervised,tr11_2025_pod_v2,slayer_pod_v2,cross_setup,14,7,14,5,98,7.6238452031070265,8.867546008779039,1.328650043921658,-3.3072702700860743,2.6025970032095165,0.6571428571428571,0.4300571807012967,0.4883082386344521,0.061319557920816864,-0.18395175880343353,0.12393319072829473,0.6714285714285714,9.579829764628844,13.398833742613762,-6.4340992412001174,-11.944252682177709,1.5168467002943433,0.34285714285714286
self-supervised,slayer_pod_v2,stumpjumper_pod_v2,cross_setup,7,11,5,11,77,26.52145257787622,3.814183491079863,22.66639851923321,9.118088014001627,27.057350711712054,1.0,1.2658677988342089,0.1748420399352388,1.0881907497515848,0.43976378533558447,1.285890168861763,1.0,31.27085096010859,4.625381742210358,26.812381474328443,11.434811523753135,44.98530914537051,1.0
self-supervised,slayer_pod_v2,tr11_pod_v2,cross_setup,7,6,5,6,42,13.42650305199503,10.39832537707019,4.065372520509477,-2.9824682932420217,8.137821188269989,0.6666666666666666,0.5372443136186915,0.375292144022985,0.1439815896551883,-0.14984180733008556,0.30986880848472237,0.6666666666666666,17.184681384752317,11.463864258774727,6.502373499192661,-2.26166959505154,12.387237693890713,0.8333333333333334
self-supervised,slayer_pod_v2,tr11_2025_pod_v2,cross_setup,7,14,5,14,98,10.383687383747972,7.259130691440522,2.598217430464959,-0.33168666652444667,8.188512524103043,0.7428571428571429,0.31492504002636634,0.23342967709492773,0.08544482444252863,-0.010183403541431893,0.2614097763153034,0.7428571428571429,14.459309520181653,12.37540479737433,2.668513309911106,-1.292310970745584,14.864153483507952,0.7428571428571429
self-supervised,slayer_pod_v2,slayer_pod_v2,same_setup,7,7,5,5,38,8.114725076503404,8.867546008779039,0.491973403389498,-3.571935039311181,2.7247007090878546,0.45,0.46449732365861085,0.4883082386344521,0.016644933399493786,-0.19070215466548474,0.13462194403859157,0.45,13.260674811815269,13.398833742613762,-0.39801477643597094,-8.386704749482934,5.156905373709365,0.5
oracle-power,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,11,11,11,11,110,3.0891467170639375,2.7407985242924777,0.19308601097422762,0.10455652625170941,0.41035560145836225,1.0,0.14818337376242519,0.1293602225303282,0.009035224430387748,0.004522493361792085,0.02126886990592189,1.0,3.738415444268399,2.7407985242924777,0.6380670444782139,0.3115145154980663,1.5122478675844473,1.0
oracle-power,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,11,6,11,6,66,19.576294456312464,7.64931295199841,12.3091430189952,6.7735299354764775,13.679507186027783,1.0,0.7495429937805773,0.2784172328163354,0.4611216479775885,0.33341953210830155,0.486696506277732,1.0,22.084959157858112,7.64931295199841,14.817807720540848,9.09880028632393,16.89909592217985,1.0
oracle-power,stumpjumper_pod_v2,tr11_2025_pod_v2,cross_setup,11,14,11,14,154,20.17414262726619,5.387170896263436,14.13725872839709,13.23713216394849,16.4699779918329,1.0,0.627088543487611,0.17443607845324796,0.45156079113137126,0.43677232300096247,0.47326610284741755,1.0,22.91697552757101,5.387170896263436,16.695439116386375,15.8930783289751,18.80847072278779,1.0
oracle-power,stumpjumper_pod_v2,slayer_pod_v2,cross_setup,11,7,11,5,77,9.888039148306913,4.024333989245821,5.726992499815983,5.513556876193785,9.593267746739993,1.0,0.5845599714289831,0.2501849717192504,0.3392220911325809,0.31616672991073513,0.4352393375729812,1.0,20.842590187192155,4.024333989245821,17.018850410013883,14.362701607589765,18.609589417748115,1.0
