trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,source_units,target_units,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
self-supervised,tr11_2025_pod_v2,tr11_2025_pod_v2,same_setup,5,5,5,5,20,7.037960471213285,7.446743912850886,-0.3412694000296139,-1.2022936481766204,3.0928132709245997,0.5,0.22824035049978897,0.2423301968060937,-0.010687911536985284,-0.037794440960084594,0.0947131312776156,0.5,12.36432977068699,12.867618777623298,-0.8853477244653805,-3.361761665247162,8.063963695132486,0.4
self-supervised,tr11_2025_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,7.266999800051642,8.867546008779039,0.9779666271129228,-5.033401399968984,3.1495284206347556,0.44,0.4670190559279417,0.4883082386344521,0.05628509470867479,-0.2883318313832427,0.1483150514913118,0.44,8.244455527983494,13.398833742613762,-6.767931598152039,-19.367585419002445,0.42898183023408976,0.12
self-supervised,slayer_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,26.83659931300085,3.8513822463077063,22.6835493379611,9.166962248103541,47.23906654331137,1.0,1.2658677988342089,0.1748420399352388,1.0881907497515848,0.43976378533558447,2.249628647274039,1.0,30.79355998695245,4.446809177460013,26.16817824474209,12.352328633499484,76.20357779082264,1.0
self-supervised,slayer_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,15.104343387463372,10.802557944090216,4.415693198158614,-3.3468631858011957,9.245441987982861,0.64,0.6134624913413033,0.3770329115685448,0.15269423046016095,-0.16814932443148806,0.37223986641862866,0.64,17.533067245736195,12.930521628652436,6.5568376698652475,-3.066244248236192,11.180466831289374,0.8
self-supervised,slayer_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,10.294409719815622,7.446743912850886,3.1739648005994745,-0.2872721946693515,10.98696136148267,0.8,0.3255079585527902,0.2423301968060937,0.1112037248374943,-0.009348344496043187,0.35123889886875004,0.8,15.459075966435137,12.867618777623298,1.1808665665840312,-5.255799246684546,27.225176867737538,0.8
self-supervised,slayer_pod_v2,slayer_pod_v2,same_setup,5,5,5,5,20,7.5866722295074975,8.867546008779039,0.4867264719370574,-5.674675147588383,6.391197027464191,0.45,0.45999456392113064,0.4883082386344521,0.016644933399493786,-0.32017902856677793,0.3624876030358428,0.45,13.145194179858219,13.398833742613762,-0.08422597193727377,-14.537952608803598,11.120175323159874,0.55
oracle-power,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,5,5,5,5,20,3.0891467170639375,2.7407985242924777,0.12180025219466084,0.08380852976739606,0.31345205236741913,1.0,0.15018603010941545,0.1429488414503888,0.006310136228761996,0.0037815111468088858,0.0168319750321876,1.0,3.5591555592721185,2.7407985242924777,0.5051109959179045,0.15619103617256003,3.219433482204078,1.0
oracle-power,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,20.041761046614948,8.016598607941193,12.025162438673755,6.302651050751557,13.73853781608479,1.0,0.7531385794432847,0.3024308030228548,0.45365618395884316,0.3166506837827561,0.48385321193223907,1.0,22.33923161676165,8.016598607941193,14.322633008820459,8.730487084069866,17.08126638484533,1.0
oracle-power,stumpjumper_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,19.534012067605325,5.47514853859346,13.876929239450076,12.763971318113718,16.86008641808396,1.0,0.6242733385301482,0.1731235177224683,0.45157978211886307,0.41687796830203094,0.4938968815988316,1.0,23.382203187528596,5.47514853859346,17.060317031131326,13.882951961026613,19.883538742717647,1.0
oracle-power,stumpjumper_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,10.332986317320213,3.884357527502604,6.351194960859613,4.498806050859794,9.568184247749015,1.0,0.5892737037112057,0.2280917222300858,0.352360549092545,0.31172643617879037,0.439940798805779,1.0,20.987497733056266,3.884357527502604,17.267411827813586,13.67989943259803,19.14505153677023,1.0
