trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
oracle-power,0.3684040902136229,8.661895926609855,23.748767837680433,19,transfer,log-0129
oracle-power,0.19174900124176425,3.447456959643637,3.447456959643637,1,diagonal,log-0145-filtered-c01
oracle-power,0.4559990047129454,10.579860201970988,43.23226742576283,19,transfer,log-0145-filtered-c01
oracle-power,0.2280917222300858,3.9817913564605996,3.9817913564605996,1,diagonal,log-0147-filtered-c02
oracle-power,0.5055719804613572,11.863457726423583,24.201981921702817,19,transfer,log-0147-filtered-c02
oracle-power,0.25018497171925047,4.929928298616744,4.929928298616745,1,diagonal,log-0151-filtered-c01
oracle-power,0.5049741164022544,12.20700040675156,27.387501805841083,19,transfer,log-0151-filtered-c01
oracle-power,0.2741631711267457,3.884357527502604,3.884357527502604,1,diagonal,log-0152-filtered-c02
oracle-power,0.5163740874198416,11.969899951603061,27.92236057015276,19,transfer,log-0152-filtered-c02
oracle-power,0.14497442844355773,3.866823701940916,3.866823701940916,1,diagonal,log-0155-filtered-c01
oracle-power,0.4363246109490149,10.990347344336858,26.0606660090654,19,transfer,log-0155-filtered-c01
oracle-binned-median,0.117248064839081,2.5722350759930643,2.5828004713768675,1,diagonal,log-0049
oracle-binned-median,0.6236744917375664,15.221994335961357,20.968022980258,19,transfer,log-0049
oracle-binned-median,0.15459029789547837,2.7093362400261785,2.711623701420622,1,diagonal,log-0054
oracle-binned-median,0.615229827946708,15.235297596773918,20.065656759755267,19,transfer,log-0054
oracle-binned-median,0.1431624339892254,3.172867312762959,3.17312516011025,1,diagonal,log-0056
oracle-binned-median,0.6194146093971036,15.195554138094172,21.051157473397094,19,transfer,log-0056
oracle-binned-median,0.13430387871663965,3.0973599115607606,3.097471469065157,1,diagonal,log-0058
oracle-binned-median,0.6037902452813368,14.92797719652411,20.56191150068399,19,transfer,log-0058
oracle-binned-median,0.12360509082013349,2.576572330431701,2.5769494633063452,1,diagonal,log-0072_184
oracle-binned-median,0.6206864558025993,15.137094290866502,19.076205994720137,19,transfer,log-0072_184
oracle-binned-median,0.23754163113734214,6.744761844697377,6.80349726502593,1,diagonal,log-0078-valid
oracle-binned-median,0.3978180065977806,7.889240042328726,33.60464834400251,19,transfer,log-0078-valid
oracle-binned-median,0.24340067907633814,7.038790658858539,7.105254666520434,1,diagonal,log-0080-valid
oracle-binned-median,0.40917581118658686,7.848923774343196,33.74360436362707,19,transfer,log-0080-valid
oracle-binned-median,0.4019170332644161,8.409929646253444,8.411806438627744,1,diagonal,log-0081
oracle-binned-median,0.4101186162968993,7.952837353030217,34.478059146095354,19,transfer,log-0081
oracle-binned-median,0.2923051550124975,7.7481958694205435,7.8342048534151845,1,diagonal,log-0098
oracle-binned-median,0.43176096417341614,8.491995890726264,35.78980948960673,19,transfer,log-0098
oracle-binned-median,0.4416439675187173,8.790531517846397,8.797271431057952,1,diagonal,log-0099
oracle-binned-median,0.4033513884639747,8.198212683426211,35.010797030490174,19,transfer,log-0099
oracle-binned-median,0.16656063816646943,5.118365085054582,5.1381763768297235,1,diagonal,log-0116
oracle-binned-median,0.36226386136455385,8.738087201153366,24.206922594819524,19,transfer,log-0116
oracle-binned-median,0.12331705641248654,3.186931178807656,3.1916624371943243,1,diagonal,log-0117
oracle-binned-median,0.35092217506188883,7.724378368261502,25.69626246155059,19,transfer,log-0117
oracle-binned-median,0.19634663212943618,6.421971576835719,6.446300405390538,1,diagonal,log-0125
oracle-binned-median,0.31915030727694205,8.149614123677715,23.24514374754422,19,transfer,log-0125
oracle-binned-median,0.1500358717789026,5.442008899829774,5.445103115215209,1,diagonal,log-0126
oracle-binned-median,0.35080072499418713,7.840417392270498,23.079183529160165,19,transfer,log-0126
oracle-binned-median,0.16347462311809666,5.169995709635482,5.205364065244239,1,diagonal,log-0129
oracle-binned-median,0.3456842401779441,8.21218015026005,22.252893734580297,19,transfer,log-0129
oracle-binned-median,0.18313379822854303,3.2925641498019584,3.3140352596237053,1,diagonal,log-0145-filtered-c01
oracle-binned-median,0.5050231107414984,11.9048376642953,28.283827820593594,19,transfer,log-0145-filtered-c01
oracle-binned-median,0.19104406068416954,3.335051277170035,3.3521155961748805,1,diagonal,log-0147-filtered-c02
oracle-binned-median,0.514219819369024,12.530314490136327,24.5398858940023,19,transfer,log-0147-filtered-c02
