trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
oracle-power,0.14497123965747025,3.425637934463457,3.7879313838993154,10,transfer,log-0054
oracle-power,0.14718963747529734,3.488786046260472,3.488786046260472,1,diagonal,log-0055
oracle-power,0.14425236921541112,3.2210406428792844,3.7206905199920746,10,transfer,log-0055
oracle-power,0.15631613717483947,3.5209744670589767,3.5209744670589775,1,diagonal,log-0056
oracle-power,0.14404319583549954,3.232110769185576,3.5660051145054745,10,transfer,log-0056
oracle-power,0.14661782431538917,3.4303536478455157,3.4303536478455157,1,diagonal,log-0058
oracle-power,0.15268068857261258,3.428535287985328,3.754768608438392,10,transfer,log-0058
oracle-power,0.10914836089933595,2.9965502749368844,2.9965502749368844,1,diagonal,log-0063
oracle-power,0.16481555381548602,3.7711299325372893,4.249773793529383,10,transfer,log-0063
oracle-power,0.1089904246471343,2.463830433888111,2.463830433888111,1,diagonal,log-0071_183
oracle-power,0.16564403951452167,3.795998144947955,4.758448927998044,10,transfer,log-0071_183
oracle-power,0.11361290217474279,2.436852042400015,2.436852042400015,1,diagonal,log-0072_184
oracle-power,0.1600944441633032,3.669300647164862,5.158629796767789,10,transfer,log-0072_184
oracle-power,0.12956770020465241,2.5094800161175255,2.5094800161175255,1,diagonal,log-0073_185
oracle-power,0.1634063361615853,3.7449210188354476,4.116936434578888,10,transfer,log-0073_185
oracle-binned-median,0.12339222692874498,2.5378950093777415,2.5381304855911107,1,diagonal,log-0046
oracle-binned-median,0.13951977968834814,3.198265964874497,3.452708440143646,10,transfer,log-0046
oracle-binned-median,0.1300940440638232,2.919332661851497,2.91969308339503,1,diagonal,log-0048
oracle-binned-median,0.13869492574419034,3.1576215736253905,3.7375635830650697,10,transfer,log-0048
oracle-binned-median,0.13646618728783638,3.3072001092811476,3.3076791420777805,1,diagonal,log-0049
oracle-binned-median,0.14406615655207758,3.2439080046195823,3.754946341292965,10,transfer,log-0049
oracle-binned-median,0.16062263637079413,2.8816716023222795,2.8869346176149433,1,diagonal,log-0054
oracle-binned-median,0.14805761202386236,3.4837822184161,3.7771170296717873,10,transfer,log-0054
oracle-binned-median,0.13758899077571615,3.2612251743465315,3.2612455509111724,1,diagonal,log-0055
oracle-binned-median,0.13658892765594338,3.004827190152646,3.4998399685903583,10,transfer,log-0055
oracle-binned-median,0.15226483924623296,3.429720186964289,3.4441549771024595,1,diagonal,log-0056
oracle-binned-median,0.13497103037807215,2.980679742405861,3.415136154544035,10,transfer,log-0056
oracle-binned-median,0.13594859186798305,3.1807302434841005,3.1809988259488438,1,diagonal,log-0058
oracle-binned-median,0.14139984343941342,3.1486807612609082,3.533193602329206,10,transfer,log-0058
oracle-binned-median,0.10054749341687656,2.7604227544968025,2.773960336363663,1,diagonal,log-0063
oracle-binned-median,0.15648881644209028,3.5207049551117433,3.9144040511078737,10,transfer,log-0063
oracle-binned-median,0.10565792825032527,2.388496237605608,2.389926026693378,1,diagonal,log-0071_183
oracle-binned-median,0.1553645112451617,3.560824128521563,4.678148924548257,10,transfer,log-0071_183
oracle-binned-median,0.11206498799495614,2.4036512548286226,2.404288441582113,1,diagonal,log-0072_184
oracle-binned-median,0.1550697531090535,3.554031569232092,5.1473021430575585,10,transfer,log-0072_184
oracle-binned-median,0.12660806920065037,2.4521575904829436,2.4540270324687152,1,diagonal,log-0073_185
oracle-binned-median,0.15511617222248342,3.5554063291725324,3.956080022662955,10,transfer,log-0073_185
