duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,n_trials,stage
40.0,full_log_excluding_training,5.0704154479583705,0.17043648704637923,3.688178037918661,7.455080648768908,0.4457734691760631,6.6330404250858646,19.292740149667935,3.6884788987766397,11,44,fusion1
40.0,training_window,3.7314033135935,0.15552666097498763,3.235418549916231,7.697546050095837,2.498157408303747,5.903154678841106,14.369433921734275,3.2905181097537266,11,44,fusion1
40.0,common_core,3.639947580094431,0.15237231685709585,2.8776698475032774,6.733077887787159,1.6118223957978843,4.488439910998462,32.292697071362156,3.1017860358680833,11,44,nuisance_delta_lifted
40.0,full_log,5.439158107531244,0.15794405498390612,3.428681550884853,6.743680113339591,-0.21356122415438297,5.21842485700655,26.120836196651688,3.428681550884853,11,44,nuisance_delta_lifted
40.0,full_log_excluding_training,5.606906781709071,0.15887943974528382,3.3620023586299643,6.726060034518987,-0.32225056279814007,5.261243328110822,26.319660344212835,3.374619795065064,11,44,nuisance_delta_lifted
40.0,training_window,3.489360642499446,0.15452688663313627,3.100910763075147,6.9338020113056675,0.20785448331054696,4.754896677104684,28.638080640479593,3.1163971372285637,11,44,nuisance_delta_lifted
40.0,common_core,2.598316059488444,0.156826682710761,2.8711985752604336,6.954656348464342,-1.582036743408975,6.3182335500797535,16.629309420351955,3.0178692892128955,11,44,nuisance_corrected_mag
40.0,full_log,3.4899302155572087,0.1656717564941408,3.5736497693254305,7.090651483209245,-1.5227748351699455,6.08027995819373,14.720116988875025,3.5736497693254305,11,44,nuisance_corrected_mag
40.0,full_log_excluding_training,3.631105103805062,0.16636383793711867,3.5227753946482028,7.084044529650675,-1.6802556385642846,6.019399897955405,15.388461906133609,3.5292700691652685,11,44,nuisance_corrected_mag
40.0,training_window,2.7108288950675963,0.1623651431130295,3.101765662767131,7.232629924180754,-1.281858591933537,5.901884304434041,20.48232507049693,3.1351715243348,11,44,nuisance_corrected_mag
40.0,common_core,4.328809137607661,0.14612034673114227,3.099893943436806,6.417986669447002,3.041583504073836,5.2250869364447965,32.4224934604937,3.216093013732456,11,44,solved
40.0,full_log,5.8337194307704205,0.1587114905768895,3.2867471730719693,6.2936567281854465,0.9953259028161897,5.07450366047958,26.190015803037483,3.2867471730719693,11,44,solved
40.0,full_log_excluding_training,5.954731162229124,0.15915322483856822,3.2755483957425513,6.284807699444246,0.734671877056207,5.036164241961736,27.70912442030803,3.2756264893190075,11,44,solved
40.0,training_window,4.39879552658414,0.14022001599849976,3.0853852871895064,6.428338020241866,2.281592807951255,4.891400964605019,25.855126535038167,3.2632136556636757,11,44,solved
120.0,common_core,nan,0.19171417268890997,3.8115707596233017,8.295106376142662,-5.556050903809381,8.55150818492812,nan,4.0685171181872075,11,44,mag_model
120.0,full_log,nan,0.1853675522709414,4.096359354940774,8.055071855221389,-3.9387269550869637,7.960839860719933,nan,4.096359354940774,11,44,mag_model
120.0,full_log_excluding_training,nan,0.2128470624495866,4.070599324108939,7.791211778762147,-4.228477422868837,7.857889538267767,nan,4.7774782999717065,11,44,mag_model
120.0,training_window,nan,0.19525323833645175,4.289303363024931,7.956050255326369,-4.389415184698056,8.345790120815776,nan,4.305412190954621,11,44,mag_model
120.0,common_core,5.695582529930656,0.1481350153171789,2.9107187831401604,6.866112703057713,1.6748313672597936,5.206460832363197,45.98432935571694,3.1019824890929435,11,44,fusion1
