aligned_nrmse_std_log_median,aligned_rmse_log_median,anchored_rmse_log_median,duration_s,evaluation_scope,failure_rate,fixed_aligned_rmse_log_median,n_logs,prediction_to_travel_std_log_median,run,trainer,training_observations_log_median,travel_range_log_median,travel_std_log_median
0.11739696406254385,2.4853933791040355,2.4853933791040355,20.0,training_window,0.0,2.542026662963254,11.0,0.9930850674802565,random-window-front-v1,oracle-power,1952.0,120.06269069374967,20.131818835001138
0.14762241262666148,3.3126722587769386,3.5591725665375504,40.0,full_log,0.0,3.3126722587769386,11.0,0.9922527976382811,random-window-front-v1,oracle-power,3904.0,149.90437255734173,22.524702380028554
0.1501063335206576,3.3641092997238236,3.687957665368696,40.0,full_log_excluding_training,0.0,3.3660586654171882,11.0,0.9920736381316919,random-window-front-v1,oracle-power,3904.0,148.7314640450589,22.45820799698266
0.11761745569178608,2.550770282724871,2.550770282724871,40.0,training_window,0.0,2.6942515462527066,11.0,0.9930589183879974,random-window-front-v1,oracle-power,3904.0,128.48474116409312,20.6791755745095
0.1574678076752021,3.3179434041061153,3.788466779991033,5.0,full_log,0.0,3.3179434041061153,11.0,0.9822506572756866,random-window-front-v1,oracle-power,488.0,149.90437255734173,22.524702380028554
0.1574777240873098,3.3333393337756885,3.7981194596462995,5.0,full_log_excluding_training,0.0,3.333367993702357,11.0,0.9820713426820709,random-window-front-v1,oracle-power,488.0,149.90437255734173,22.574643379384764
0.10642400873307155,2.029259304518437,2.029259304518437,5.0,training_window,0.0,2.3241377077516097,11.0,0.9943196036597679,random-window-front-v1,oracle-power,488.0,97.2151890459368,18.927690997462705
0.14418241113500926,3.235478035292953,3.305914524494482,60.0,full_log,0.0,3.235478035292953,11.0,0.9885149998248492,random-window-front-v1,oracle-power,5855.5,149.90437255734173,22.524702380028554
0.1453957191388359,3.3128293995621867,3.4728270237902645,60.0,full_log_excluding_training,0.0,3.315460586766376,11.0,0.9858961161492708,random-window-front-v1,oracle-power,5855.5,148.7314640450589,22.513578517151423
0.12253989569510176,2.5341763059385256,2.5341763059385505,60.0,training_window,0.0,2.718847139211155,11.0,0.9924609659249352,random-window-front-v1,oracle-power,5855.5,136.14620959402913,20.87511092084815
0.18982219036155573,4.179077533595459,7.880631685984823,10.0,full_log,0.004545454545454545,4.179077533595459,11.0,0.9128227721950875,random-window-front-v1,self-supervised,37.0,149.90437255734173,22.524702380028554
0.19104303445503162,4.140180346947707,7.883870067140757,10.0,full_log_excluding_training,0.004545454545454545,4.141918538479839,11.0,0.9136876598326549,random-window-front-v1,self-supervised,37.0,149.90437255734173,22.604706452395806
0.17537074128888658,3.5393239519329542,7.946686901139659,10.0,training_window,0.004545454545454545,3.7850543538321006,11.0,0.9378024675535405,random-window-front-v1,self-supervised,37.0,107.54200519072413,19.819635599045128
0.18178681531635515,4.0281131074851375,8.114957260127538,120.0,full_log,0.0,4.0281131074851375,11.0,1.0605505296417537,random-window-front-v1,self-supervised,178.0,149.90437255734173,22.524702380028554
0.1963034071196848,4.051412177996677,7.487286162571424,120.0,full_log_excluding_training,0.0,4.133956874040967,11.0,1.0589177528840255,random-window-front-v1,self-supervised,178.0,148.7314640450589,22.13414303858061
0.1940021287991862,4.0726797539669635,8.418464002640343,120.0,training_window,0.0,4.0842432898602645,11.0,1.0666943905158728,random-window-front-v1,self-supervised,178.0,142.1416860975866,21.521057166498586
0.19390106468458193,3.9883194319911954,8.852156344032341,20.0,full_log,0.0,3.9883194319911954,11.0,0.9591234070515229,random-window-front-v1,self-supervised,50.0,149.90437255734173,22.524702380028554
0.19473661018054356,3.952972900779343,8.944982275281593,20.0,full_log_excluding_training,0.0,3.954081452800284,11.0,0.9602025245866135,random-window-front-v1,self-supervised,50.0,149.90437255734173,22.498072701689363
0.18524262359546206,3.543012408218754,8.084372388359533,20.0,training_window,0.0,3.8852411692277524,11.0,0.9612071109182272,random-window-front-v1,self-supervised,50.0,120.06269069374967,20.131818835001138
0.18339634019445222,3.7955643035709006,7.824042309179758,40.0,full_log,0.0,3.7955643035709006,11.0,1.019949250026841,random-window-front-v1,self-supervised,63.5,149.90437255734173,22.524702380028554
0.1839131869663426,3.835793388617312,7.883277228315585,40.0,full_log_excluding_training,0.0,3.835833920064796,11.0,1.021593841773292,random-window-front-v1,self-supervised,63.5,148.7314640450589,22.45820799698266
0.17034476453124484,3.684003676550828,7.28037379052694,40.0,training_window,0.0,3.811940968073512,11.0,1.0184984983652996,random-window-front-v1,self-supervised,63.5,128.48474116409312,20.6791755745095
0.20328586208510063,4.744524804887718,8.171848443565764,5.0,full_log,0.004545454545454545,4.744524804887718,11.0,0.9045563382833284,random-window-front-v1,self-supervised,17.5,149.90437255734173,22.524702380028554
0.20358928773327778,4.746267265740166,8.172542218297876,5.0,full_log_excluding_training,0.004545454545454545,4.7463037003686255,11.0,0.90463633477987,random-window-front-v1,self-supervised,17.5,149.90437255734173,22.574643379384764
0.18091096495075562,3.4116982354239207,8.173770896248662,5.0,training_window,0.004545454545454545,3.8894415468103514,11.0,0.9484886162090147,random-window-front-v1,self-supervised,17.5,97.2151890459368,18.927690997462705
0.17560534901709884,3.9819200771051726,7.821868806579245,60.0,full_log,0.0,3.9819200771051726,11.0,1.0263060506914563,random-window-front-v1,self-supervised,88.5,149.90437255734173,22.524702380028554
