duration_s,evaluation_scope,metric,n_logs,run,setup,trainer,value
10.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.20060886699748118
10.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,4.531169963706497
10.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.286195849610433
10.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.17463062898211726
10.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.5956156069912395
10.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,6.324675655281483
10.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.26273280878102856
10.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.277805493771625
2.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,4.272043286562672
2.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.25873368856568296
2.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.00052833749049
2.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.0546394831817425
2.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.20464558795036666
2.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.8781831709930623
2.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,5.06335217930532
2.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.2389941371082222
2.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,9.182251623213222
40.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,4.53508227727738
40.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.20487676530290216
40.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,4.674255222607107
40.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,3.7785522622621848
40.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.17770015261726638
40.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.005907212467967
40.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,7.362662295941066
40.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.3126884032760545
40.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,7.877054642359408
5.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.159571591183027
5.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,0.24040175862974553
5.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,self-supervised,5.56611050999782
5.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.031321076009952
5.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,0.18338942205959274
5.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,self-supervised,4.142808535508503
5.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,5.812996350746429
5.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,self-supervised,0.2678659420363394
5.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,self-supervised,8.515167901787038
