duration_s,metric,n_logs,rmse_mm,run,trainer,travel_bin
3.0,anchored_rmse,10,11.746525145616694,random-window-front-v1-shorter,self-supervised,90-120
3.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
3.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
3.0,anchored_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
4.0,local_aligned_rmse,11,5.387356984371941,random-window-front-v1-shorter,self-supervised,0-30
4.0,fixed_aligned_rmse,11,5.431670674607163,random-window-front-v1-shorter,self-supervised,0-30
4.0,anchored_rmse,11,7.3357100999754445,random-window-front-v1-shorter,self-supervised,0-30
4.0,local_aligned_rmse,11,2.841936034171492,random-window-front-v1-shorter,self-supervised,30-60
4.0,fixed_aligned_rmse,11,3.0031617763332803,random-window-front-v1-shorter,self-supervised,30-60
4.0,anchored_rmse,11,6.7131095399333285,random-window-front-v1-shorter,self-supervised,30-60
4.0,local_aligned_rmse,11,3.0419001713081855,random-window-front-v1-shorter,self-supervised,60-90
4.0,fixed_aligned_rmse,11,3.313141488300398,random-window-front-v1-shorter,self-supervised,60-90
4.0,anchored_rmse,11,10.130150958821215,random-window-front-v1-shorter,self-supervised,60-90
4.0,local_aligned_rmse,11,4.710540328763661,random-window-front-v1-shorter,self-supervised,90-120
4.0,fixed_aligned_rmse,11,5.871479398191234,random-window-front-v1-shorter,self-supervised,90-120
4.0,anchored_rmse,11,13.934200782884284,random-window-front-v1-shorter,self-supervised,90-120
4.0,local_aligned_rmse,1,10.214844032482597,random-window-front-v1-shorter,self-supervised,120-150
4.0,fixed_aligned_rmse,1,14.41331403335233,random-window-front-v1-shorter,self-supervised,120-150
4.0,anchored_rmse,1,17.113397644996883,random-window-front-v1-shorter,self-supervised,120-150
5.0,local_aligned_rmse,11,5.345905120731547,random-window-front-v1-shorter,self-supervised,0-30
5.0,fixed_aligned_rmse,11,5.146712656679226,random-window-front-v1-shorter,self-supervised,0-30
5.0,anchored_rmse,11,7.825734421211008,random-window-front-v1-shorter,self-supervised,0-30
5.0,local_aligned_rmse,11,3.0744894865724186,random-window-front-v1-shorter,self-supervised,30-60
5.0,fixed_aligned_rmse,11,3.142987940077033,random-window-front-v1-shorter,self-supervised,30-60
5.0,anchored_rmse,11,6.593502032317959,random-window-front-v1-shorter,self-supervised,30-60
5.0,local_aligned_rmse,11,2.883540036726454,random-window-front-v1-shorter,self-supervised,60-90
5.0,fixed_aligned_rmse,11,3.6876496333465862,random-window-front-v1-shorter,self-supervised,60-90
5.0,anchored_rmse,11,9.28810258092195,random-window-front-v1-shorter,self-supervised,60-90
5.0,local_aligned_rmse,11,5.259698028696836,random-window-front-v1-shorter,self-supervised,90-120
5.0,fixed_aligned_rmse,11,7.320616799304579,random-window-front-v1-shorter,self-supervised,90-120
5.0,anchored_rmse,11,11.844208376498013,random-window-front-v1-shorter,self-supervised,90-120
5.0,local_aligned_rmse,1,12.264354854694128,random-window-front-v1-shorter,self-supervised,120-150
5.0,fixed_aligned_rmse,1,15.99699375110452,random-window-front-v1-shorter,self-supervised,120-150
5.0,anchored_rmse,1,19.287796345826045,random-window-front-v1-shorter,self-supervised,120-150
10.0,local_aligned_rmse,11,2.7231296595163155,random-window-front-v1,oracle-isotonic,0-30
10.0,fixed_aligned_rmse,11,2.9179805813687576,random-window-front-v1,oracle-isotonic,0-30
10.0,anchored_rmse,11,2.723129659516317,random-window-front-v1,oracle-isotonic,0-30
10.0,local_aligned_rmse,11,1.7206914749032767,random-window-front-v1,oracle-isotonic,30-60
10.0,fixed_aligned_rmse,11,2.0883369783767436,random-window-front-v1,oracle-isotonic,30-60
10.0,anchored_rmse,11,1.7206914749032767,random-window-front-v1,oracle-isotonic,30-60
10.0,local_aligned_rmse,11,1.408745165385511,random-window-front-v1,oracle-isotonic,60-90
10.0,fixed_aligned_rmse,11,1.757502698953111,random-window-front-v1,oracle-isotonic,60-90
10.0,anchored_rmse,11,1.4087451653855112,random-window-front-v1,oracle-isotonic,60-90
10.0,local_aligned_rmse,11,1.2663213156395006,random-window-front-v1,oracle-isotonic,90-120
10.0,fixed_aligned_rmse,11,1.5856333672664586,random-window-front-v1,oracle-isotonic,90-120
10.0,anchored_rmse,11,1.2663213156395003,random-window-front-v1,oracle-isotonic,90-120
10.0,local_aligned_rmse,1,0.20960742147496908,random-window-front-v1,oracle-isotonic,120-150
10.0,fixed_aligned_rmse,1,0.9819834105512321,random-window-front-v1,oracle-isotonic,120-150
10.0,anchored_rmse,1,0.20960742147496908,random-window-front-v1,oracle-isotonic,120-150
120.0,local_aligned_rmse,11,4.247380439263347,random-window-front-v1,oracle-isotonic,0-30
120.0,fixed_aligned_rmse,11,4.240680457643309,random-window-front-v1,oracle-isotonic,0-30
120.0,anchored_rmse,11,4.247380439263347,random-window-front-v1,oracle-isotonic,0-30
120.0,local_aligned_rmse,11,2.212970550903886,random-window-front-v1,oracle-isotonic,30-60
120.0,fixed_aligned_rmse,11,2.2448910135175035,random-window-front-v1,oracle-isotonic,30-60
120.0,anchored_rmse,11,2.212970550903886,random-window-front-v1,oracle-isotonic,30-60
120.0,local_aligned_rmse,11,1.747747885539016,random-window-front-v1,oracle-isotonic,60-90
120.0,fixed_aligned_rmse,11,1.8083897192630465,random-window-front-v1,oracle-isotonic,60-90
120.0,anchored_rmse,11,1.747747885539016,random-window-front-v1,oracle-isotonic,60-90
120.0,local_aligned_rmse,11,1.9625776419685643,random-window-front-v1,oracle-isotonic,90-120
120.0,fixed_aligned_rmse,11,1.96438156153552,random-window-front-v1,oracle-isotonic,90-120
120.0,anchored_rmse,11,1.9625776419685643,random-window-front-v1,oracle-isotonic,90-120
120.0,local_aligned_rmse,10,1.9802542017919207,random-window-front-v1,oracle-isotonic,120-150
120.0,fixed_aligned_rmse,10,2.089902592915833,random-window-front-v1,oracle-isotonic,120-150
120.0,anchored_rmse,10,1.980254201791921,random-window-front-v1,oracle-isotonic,120-150
20.0,local_aligned_rmse,11,3.475674699704646,random-window-front-v1,oracle-isotonic,0-30
20.0,fixed_aligned_rmse,11,3.51410743811204,random-window-front-v1,oracle-isotonic,0-30
20.0,anchored_rmse,11,3.475674699704646,random-window-front-v1,oracle-isotonic,0-30
20.0,local_aligned_rmse,11,1.9468369863325572,random-window-front-v1,oracle-isotonic,30-60
20.0,fixed_aligned_rmse,11,2.0804063012030536,random-window-front-v1,oracle-isotonic,30-60
20.0,anchored_rmse,11,1.946836986332557,random-window-front-v1,oracle-isotonic,30-60
20.0,local_aligned_rmse,11,1.4838288947848723,random-window-front-v1,oracle-isotonic,60-90
20.0,fixed_aligned_rmse,11,1.785348712851556,random-window-front-v1,oracle-isotonic,60-90
20.0,anchored_rmse,11,1.4838288947848723,random-window-front-v1,oracle-isotonic,60-90
20.0,local_aligned_rmse,11,1.5890895532376095,random-window-front-v1,oracle-isotonic,90-120
20.0,fixed_aligned_rmse,11,1.7354447272720266,random-window-front-v1,oracle-isotonic,90-120
20.0,anchored_rmse,11,1.5890895532376093,random-window-front-v1,oracle-isotonic,90-120
20.0,local_aligned_rmse,3,1.2942533775514058,random-window-front-v1,oracle-isotonic,120-150
20.0,fixed_aligned_rmse,3,2.078699205715283,random-window-front-v1,oracle-isotonic,120-150
20.0,anchored_rmse,3,1.294253377551406,random-window-front-v1,oracle-isotonic,120-150
40.0,local_aligned_rmse,11,3.7700608885120195,random-window-front-v1,oracle-isotonic,0-30
40.0,fixed_aligned_rmse,11,3.7650032700866305,random-window-front-v1,oracle-isotonic,0-30
40.0,anchored_rmse,11,3.7700608885120195,random-window-front-v1,oracle-isotonic,0-30
