trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
oracle-power,0.19368157366902308,4.409464566557781,5.709419784658672,23,transfer,log-0056
oracle-power,0.14661782431538917,3.4303536478455157,3.4303536478455157,1,diagonal,log-0058
oracle-power,0.1910305585518244,4.349110052686098,6.515847410599563,23,transfer,log-0058
oracle-power,0.10914836089933595,2.9965502749368844,2.9965502749368844,1,diagonal,log-0063
oracle-power,0.187965944621405,4.2305274899919,6.298259877095595,23,transfer,log-0063
oracle-power,0.1089904246471343,2.463830433888111,2.463830433888111,1,diagonal,log-0071_183
oracle-power,0.20499390000451082,4.667007404509482,5.7011953634688295,23,transfer,log-0071_183
oracle-power,0.11361290217474279,2.436852042400015,2.436852042400015,1,diagonal,log-0072_184
oracle-power,0.20148610178397347,4.587146880521145,6.184451880531294,23,transfer,log-0072_184
oracle-power,0.12956770020465241,2.5094800161175255,2.5094800161175255,1,diagonal,log-0073_185
oracle-power,0.20359079431221141,4.635063504446472,4.87475448036113,23,transfer,log-0073_185
oracle-power,0.24349797850844426,6.758414407336552,6.758414407336552,1,diagonal,log-0078-valid
oracle-power,2.9104440673632714,63.8620889182737,65.24313785344127,23,transfer,log-0078-valid
oracle-power,0.21434742416686356,6.324626095985343,6.324626095985343,1,diagonal,log-0079
oracle-power,3.1725410757222248,69.40187421479517,72.66563713444376,23,transfer,log-0079
oracle-power,0.2546797237014204,7.454478038813925,7.454478038813925,1,diagonal,log-0080-valid
oracle-power,1.6087593015298056,36.545456595950505,45.1576504381592,23,transfer,log-0080-valid
oracle-power,0.4134177686546224,8.518581406490405,8.518581406490407,1,diagonal,log-0081
oracle-power,1.6211078668900938,35.489580538506,46.56397330524873,23,transfer,log-0081
oracle-power,0.29809631420696553,7.926067881166673,7.926067881166673,1,diagonal,log-0098
oracle-power,1.7844732907633802,40.71331344170618,48.19043612635178,23,transfer,log-0098
oracle-power,0.4484921518398629,8.808940472335285,8.808940472335369,1,diagonal,log-0099
oracle-power,2.0112339245756825,43.5157927951358,50.07530539278363,23,transfer,log-0099
oracle-binned-median,0.30730147312428296,7.000389003222108,7.135172235335269,1,diagonal,log103
oracle-binned-median,0.2494199893380992,6.044587545015911,8.903579317167054,23,transfer,log103
oracle-binned-median,0.332355309388681,7.131483071886108,7.280628509672411,1,diagonal,log104
oracle-binned-median,0.293173860830708,6.828554703863514,9.462086629993742,23,transfer,log104
oracle-binned-median,0.16753294883870604,3.9495272820577014,3.9768674205284937,1,diagonal,log106
oracle-binned-median,0.21508444289674816,4.624529568577523,6.72757271728412,23,transfer,log106
oracle-binned-median,0.1547578881221026,3.4335965560414374,3.4349085274854665,1,diagonal,log107
oracle-binned-median,0.18176876925208893,4.069447119963186,6.025276258575287,23,transfer,log107
oracle-binned-median,0.17547360376111526,3.994931595677078,3.9966079473026666,1,diagonal,log109
oracle-binned-median,0.18034763994871064,3.7497130569562955,4.408741804067532,23,transfer,log109
oracle-binned-median,0.25389742036135643,5.631421903084995,5.666478743864707,1,diagonal,log110
oracle-binned-median,0.2189889911960405,5.127015886866374,5.629235662281296,23,transfer,log110
oracle-binned-median,0.23924232531505524,5.494975229077884,5.497872026596208,1,diagonal,log112
oracle-binned-median,0.22644908316060805,5.309705046856941,5.389427733951633,23,transfer,log112
oracle-binned-median,0.12339222692874498,2.5378950093777415,2.5381304855911107,1,diagonal,log-0046
oracle-binned-median,0.18290081547639733,4.16402371046351,5.583766487870814,23,transfer,log-0046
oracle-binned-median,0.1300940440638232,2.919332661851497,2.91969308339503,1,diagonal,log-0048
oracle-binned-median,0.17886705986749535,4.072188942237172,6.683100152886703,23,transfer,log-0048
oracle-binned-median,0.13646618728783638,3.3072001092811476,3.3076791420777805,1,diagonal,log-0049
oracle-binned-median,0.19304682818810942,4.395013590897833,6.562313476813429,23,transfer,log-0049
oracle-binned-median,0.16062263637079413,2.8816716023222795,2.8869346176149433,1,diagonal,log-0054
oracle-binned-median,0.19526475460624648,4.445508161789333,5.388483421224112,23,transfer,log-0054
oracle-binned-median,0.13758899077571615,3.2612251743465315,3.2612455509111724,1,diagonal,log-0055
oracle-binned-median,0.18142669615427737,4.130463073823527,5.157893781526661,23,transfer,log-0055
oracle-binned-median,0.15226483924623296,3.429720186964289,3.4441549771024595,1,diagonal,log-0056
oracle-binned-median,0.18431865929294272,4.196303147022888,5.751164366520945,23,transfer,log-0056
oracle-binned-median,0.13594859186798305,3.1807302434841005,3.1809988259488438,1,diagonal,log-0058
oracle-binned-median,0.1802205683128849,4.103003683244394,6.316245336924083,23,transfer,log-0058
oracle-binned-median,0.10054749341687656,2.7604227544968025,2.773960336363663,1,diagonal,log-0063
oracle-binned-median,0.18128026411660125,4.096836326131782,6.067474386734537,23,transfer,log-0063
oracle-binned-median,0.10565792825032527,2.388496237605608,2.389926026693378,1,diagonal,log-0071_183
oracle-binned-median,0.19249517857293463,4.382454422851082,5.631362236657199,23,transfer,log-0071_183
oracle-binned-median,0.11206498799495614,2.4036512548286226,2.404288441582113,1,diagonal,log-0072_184
oracle-binned-median,0.1929577340388002,4.392985222958517,6.134826511524402,23,transfer,log-0072_184
