trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
oracle-power,stumpjumper_pod_v1,stumpjumper_pod_v2,cross_setup,7,11,77,4.062179560074407,2.9965502749368844,1.1084476099129983,0.4361859068116831,1.5782430212924585,1.0,0.1810226609626321,0.1376579694182676,0.049033478133018685,0.017998495913274598,0.07324328482273879,1.0,5.317197719393533,2.9965502749368844,2.3089500472282674,1.4422388268732163,3.5878324633089678,1.0
oracle-power,stumpjumper_pod_v1,tr11_pod_v2,cross_setup,7,6,42,19.730865818339122,7.690272959990299,12.38862467408751,6.173840316935682,14.461121797722772,1.0,0.7350172463115088,0.27638801895419296,0.45228988459355157,0.3063005955747683,0.4953089328609516,1.0,21.64931891432869,7.690272959990299,14.307077770077075,7.860678210184176,18.38443648136832,1.0
oracle-power,stumpjumper_pod_v2,stumpjumper_pod_v1,cross_setup,11,7,77,6.320412707232027,5.424650603471327,0.6977222665201692,0.38964258256253537,0.9993310791888756,1.0,0.2811190417048075,0.2391267276646016,0.032516616448386604,0.019201852152980398,0.04386840683171639,1.0,7.069983156113951,5.424650603471328,1.6624783616939602,0.9997574388811881,2.630947195899446,1.0
oracle-power,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,11,11,110,3.428535287985328,2.9965502749368844,0.267790618017274,0.0492376106769743,0.6695432342083683,0.9636363636363636,0.15067533286156187,0.1376579694182676,0.012136582602148789,0.0023145186004550258,0.026782023292404422,0.9636363636363636,3.847009261280366,2.9965502749368844,0.5474621160769251,0.2739784215052157,1.5618663593207969,0.990909090909091
oracle-power,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,11,6,66,20.347307065447552,7.690272959990299,13.005065921195937,6.742172135786443,15.253294908181388,1.0,0.7653413329696376,0.27638801895419296,0.47560966652572856,0.33576129523957454,0.520067960582662,1.0,21.667513895196358,7.690272959990299,14.325272750944743,7.797291047255202,18.556951858414596,1.0
oracle-power,tr11_pod_v2,stumpjumper_pod_v1,cross_setup,6,7,42,42.714382585002966,5.424650603471327,37.98081026796325,33.929081609699494,60.13914008870764,1.0,1.876188982242427,0.2391267276646016,1.6918000400831958,1.4691273760494057,2.6649082754658577,1.0,52.86475637163069,5.424650603471328,48.33346676143465,40.65734848915016,61.90774958355865,1.0
oracle-power,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,6,11,66,44.4611409344818,2.9965502749368844,41.4620079032928,32.65970908824803,74.97457226583832,1.0,2.0138346795380024,0.1376579694182676,1.8570840376889992,1.4524431643549662,3.339021130792546,1.0,48.390604813041165,2.9965502749368844,45.52119682887423,40.48740879566562,75.17533575359104,1.0
oracle-power,tr11_pod_v2,tr11_pod_v2,same_setup,6,6,30,8.755321045732735,7.690272959990299,0.8817848177043857,0.27324027459562306,1.558264228290609,1.0,0.322247526064644,0.27638801895419296,0.031503170420475984,0.009844536085106298,0.07259881132209527,1.0,9.536772088602808,7.690272959990299,1.7734642054367877,1.06170154372197,3.4292000358284733,1.0
oracle-binned-median,stumpjumper_pod_v1,stumpjumper_pod_v1,same_setup,7,7,42,5.803542667804445,5.494975229077884,0.36200708780177604,0.13963361643021877,1.2987308892237726,0.9285714285714286,0.25714210497964507,0.2392423253150552,0.016094179749759144,0.006295499718807829,0.058855482352374006,0.9285714285714286,5.984187818840196,5.497872026596208,0.9666263818567904,0.4274876543538282,4.65345034372799,0.9523809523809523
oracle-binned-median,stumpjumper_pod_v1,stumpjumper_pod_v2,cross_setup,7,11,77,4.442464525582076,2.8816716023222795,1.3116741150113325,0.45554059369033517,2.417638580676958,1.0,0.1938919727688176,0.1300940440638232,0.0672839035681673,0.0161627259212358,0.10932047662012917,1.0,5.314481709183128,2.8869346176149433,2.108680482143498,1.4370299345185007,5.047146434962371,1.0
oracle-binned-median,stumpjumper_pod_v1,tr11_pod_v2,cross_setup,7,6,42,19.72681274834691,7.424622802901471,12.612932992035269,6.301528229289022,14.741787068996803,1.0,0.739701179957188,0.2668729001629675,0.46221038113943763,0.3173943146846727,0.508211504432182,1.0,21.68006788261389,7.495197110170595,14.49916517675175,7.911323838140586,18.93042463702166,1.0
oracle-binned-median,stumpjumper_pod_v2,stumpjumper_pod_v1,cross_setup,11,7,77,6.11501881142194,5.494975229077884,0.40772455187193435,0.22730988653174178,0.8755720976987948,1.0,0.2737833832434315,0.2392423253150552,0.018376821374721103,0.010245233362385309,0.03732623549395078,1.0,6.639198952905884,5.497872026596208,1.1814430234712274,0.7175804650154811,2.316255839035479,1.0
oracle-binned-median,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,11,11,110,3.2439080046195823,2.8816716023222795,0.2852857854307116,0.1091805385907807,0.5298231388520138,0.9545454545454546,0.14406615655207755,0.1300940440638232,0.014405951939709297,0.0048125913821013,0.022721615565738207,0.9545454545454546,3.7549463412929653,2.8869346176149433,0.6611838541744124,0.3042749575712409,1.5849238882009375,1.0
oracle-binned-median,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,11,6,66,20.083435798154888,7.424622802901471,12.969556041843244,6.631696046329398,15.018007280121378,1.0,0.7578167969869214,0.2668729001629675,0.4757094580779978,0.3311045009491743,0.5192988396089393,1.0,21.461015041297657,7.495197110170595,14.280112335435515,8.108666579687613,18.592641134242264,1.0
oracle-binned-median,tr11_pod_v2,stumpjumper_pod_v1,cross_setup,6,7,42,31.31784832376274,5.494975229077884,26.96286912199484,24.037962325679825,29.47251700476512,1.0,1.3833195876480602,0.2392423253150552,1.184318604527659,1.0611749687886625,1.298174608597377,1.0,43.408029354234216,5.497872026596208,39.128560025189,29.687182468295646,42.89703369399038,1.0
oracle-binned-median,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,6,11,66,30.695786595921923,2.8816716023222795,27.787889120248792,24.722663124740066,29.727056614806727,1.0,1.3687910814861206,0.1300940440638232,1.2282135792074043,1.0891889761827032,1.4109536093052135,1.0,39.880707937479436,2.8869346176149433,37.42668090501072,31.00627191370207,41.949445516654826,1.0
oracle-binned-median,tr11_pod_v2,tr11_pod_v2,same_setup,6,6,30,8.20057128184067,7.424622802901471,0.6088483607028197,0.2129466260993924,2.1372725728103075,0.9666666666666667,0.297289010150832,0.2668729001629675,0.024764574886320945,0.007380024652791833,0.08168170744271339,0.9666666666666667,9.374833029836225,7.495197110170595,2.0344241101306264,0.9073868469369155,3.6960133918801903,1.0
